year,tmID,coachID,playerID
11,ATL,meadoma99w,balesal01w
11,ATL,meadoma99w,castriz01w
11,ATL,meadoma99w,desouer01w
11,ATL,meadoma99w,hardili01w
11,ATL,meadoma99w,irvinsa01w
11,ATL,meadoma99w,lehnish01w
11,ATL,meadoma99w,lyttlsa01w
11,ATL,meadoma99w,mazzake01w
11,ATL,meadoma99w,mccouan01w
11,ATL,meadoma99w,milleco01w
11,ATL,meadoma99w,parisco01w
11,ATL,meadoma99w,pricear01w
11,CHI,chatmda99w,bjorkan01w
11,CHI,chatmda99w,cantydo01w
11,CHI,chatmda99w,fowlesy01w
11,CHI,chatmda99w,kraayca01w
11,CHI,chatmda99w,murphsh01w
11,CHI,chatmda99w,princep01w
11,CHI,chatmda99w,snowmi01w
11,CHI,chatmda99w,swordca01w
11,CHI,chatmda99w,thorner01w
11,CHI,chatmda99w,vandeco01w
11,CHI,chatmda99w,wisdoli01w
11,CHI,chatmda99w,youngta01w
11,CON,thibami99w,brelaje01w
11,CON,thibami99w,charlti01w
11,CON,thibami99w,greenka01w
11,CON,thibami99w,griffke01w
11,CON,thibami99w,hightal01w
11,CON,thibami99w,jonesas01w
11,CON,thibami99w,lawsoka01w
11,CON,thibami99w,mccrada01w
11,CON,thibami99w,montgre01w
11,CON,thibami99w,mooreje01w
11,CON,thibami99w,walkede01w
11,CON,thibami99w,whiteta01w
11,IND,dunnli99wc,bobbish01w
11,IND,dunnli99wc,catchta01w
11,IND,dunnli99wc,davenje01w
11,IND,dunnli99wc,douglka01w
11,IND,dunnli99wc,elysh01w
11,IND,dunnli99wc,januabr01w
11,IND,dunnli99wc,philler01w
11,IND,dunnli99wc,pohleje01w
11,IND,dunnli99wc,smithta01w
11,IND,dunnli99wc,suttota01w
11,IND,dunnli99wc,zellosh01w
11,LAS,bryanjo01w,hoffmeb01w
11,LAS,bryanjo01w,lacyna01w
11,LAS,bryanjo01w,lavenja01w
11,LAS,bryanjo01w,miltode01w
11,LAS,bryanjo01w,oheaje01w
11,LAS,bryanjo01w,parkeca01w
11,LAS,bryanjo01w,penicti01w
11,LAS,bryanjo01w,pringla01w
11,LAS,bryanjo01w,quinnno01w
11,LAS,bryanjo01w,thompti01w
11,LAS,bryanjo01w,tolivkr01w
11,LAS,gilloje01w,hoffmeb01w
11,LAS,gilloje01w,lacyna01w
11,LAS,gilloje01w,lavenja01w
11,LAS,gilloje01w,miltode01w
11,LAS,gilloje01w,oheaje01w
11,LAS,gilloje01w,parkeca01w
11,LAS,gilloje01w,penicti01w
11,LAS,gilloje01w,pringla01w
11,LAS,gilloje01w,quinnno01w
11,LAS,gilloje01w,thompti01w
11,LAS,gilloje01w,tolivkr01w
11,MIN,reevech99w,adairje01w
11,MIN,reevech99w,augusse01w
11,MIN,reevech99w,brunsre01w
11,MIN,reevech99w,harriam01w
11,MIN,reevech99w,hornbal01w
11,MIN,reevech99w,houstch01w
11,MIN,reevech99w,mcwilta01w
11,MIN,reevech99w,moorema01w
11,MIN,reevech99w,whaleli01w
11,MIN,reevech99w,wiggica01w
11,MIN,reevech99w,wrighmo01w
11,NYL,whisejo99w,braxtka01w
11,NYL,whisejo99w,brelaje01w
11,NYL,whisejo99w,carsoes01w
11,NYL,whisejo99w,chestfe01w
11,NYL,whisejo99w,colsosy01w
11,NYL,whisejo99w,holliqu01w
11,NYL,whisejo99w,mitchle01w
11,NYL,whisejo99w,montgal01w
11,NYL,whisejo99w,phillta02w
11,NYL,whisejo99w,pierspl01w
11,NYL,whisejo99w,pondeca01w
11,NYL,whisejo99w,powelni01w
11,NYL,whisejo99w,spencsi01w
11,NYL,whisejo99w,vaughki01w
11,PHO,gaineco01w,bonnede01w
11,PHO,gaineco01w,braxtka01w
11,PHO,gaineco01w,dupreca01w
11,PHO,gaineco01w,ferdima01w
11,PHO,gaineco01w,graylal01w
11,PHO,gaineco01w,johnste01w
11,PHO,gaineco01w,sanfona01w
11,PHO,gaineco01w,sanniol01w
11,PHO,gaineco01w,spencsi01w
11,PHO,gaineco01w,swanike01w
11,PHO,gaineco01w,tauradi01w
11,PHO,gaineco01w,taylope01w
11,PHO,gaineco01w,thomakr01w
